,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,1.0270005325476328,0.6027833333333333,4.766113758087158,5.1452412605285645,0.01,1000,True
1,1,2,0.5440804496407509,0.7884166666666667,4.775710821151733,9.958440065383911,0.01,1000,True
2,1,3,0.44208131978909176,0.8339833333333333,4.783218860626221,14.771978616714478,0.01,1000,True
3,1,4,0.377061565220356,0.8603333333333333,5.411359548568726,20.210142374038696,0.01,1000,True
4,1,5,0.3501199459036191,0.8706166666666667,7.758113384246826,28.01664924621582,0.01,1000,True
5,1,6,0.324114349981149,0.8813666666666666,5.327556610107422,33.37832570075989,0.01,1000,True
6,1,7,0.3127988323569298,0.8845666666666666,5.030803918838501,38.43759036064148,0.01,1000,True
7,1,8,0.29886891742547356,0.8890666666666667,4.7226457595825195,43.18952488899231,0.01,1000,True
8,1,9,0.28864718625942865,0.8926666666666667,4.773034334182739,47.99339008331299,0.01,1000,True
9,1,10,0.28276752308011055,0.8949666666666667,4.8679869174957275,52.88660454750061,0.01,1000,True
10,2,1,1.1134289185206094,0.58115,5.03893256187439,5.376749277114868,0.01,1000,False
11,2,2,0.594059380888939,0.7653,4.804821252822876,10.214947700500488,0.01,1000,False
12,2,3,0.4959571267167727,0.81215,5.025339365005493,15.268970966339111,0.01,1000,False
13,2,4,0.43695777356624604,0.83695,4.73193097114563,20.02824902534485,0.01,1000,False
14,2,5,0.3908914203445117,0.8537833333333333,4.8740410804748535,24.92860507965088,0.01,1000,False
15,2,6,0.3623922303318977,0.8655166666666667,4.93425989151001,29.893407821655273,0.01,1000,False
16,2,7,0.3437259187301,0.87315,4.8854663372039795,34.80374574661255,0.01,1000,False
17,2,8,0.32523736308018364,0.8781333333333333,5.018321990966797,39.85142683982849,0.01,1000,False
18,2,9,0.31156833469867706,0.8837,4.782506227493286,44.658005237579346,0.01,1000,False
19,2,10,0.2988598088423411,0.8881333333333333,5.095171213150024,49.784881830215454,0.01,1000,False
20,3,1,1.304862415790558,0.5249,4.04487943649292,4.685193061828613,0.01,2000,True
21,3,2,0.6719987730185191,0.7372166666666666,4.701122045516968,9.412045240402222,0.01,2000,True
22,3,3,0.5438330630461375,0.7934833333333333,12.231689691543579,21.692381143569946,0.01,2000,True
23,3,4,0.47264249821503956,0.82535,11.792678117752075,33.531795263290405,0.01,2000,True
24,3,5,0.43111572563648226,0.8415,12.879628658294678,46.46310615539551,0.01,2000,True
25,3,6,0.3995500346024831,0.8519833333333333,12.775369644165039,59.29589891433716,0.01,2000,True
26,3,7,0.3824893931547801,0.8580166666666666,12.818400621414185,72.16184139251709,0.01,2000,True
27,3,8,0.36001894672711693,0.8669666666666667,12.785522222518921,85.00578927993774,0.01,2000,True
28,3,9,0.3503481835126877,0.8719666666666667,12.193126440048218,97.25339603424072,0.01,2000,True
29,3,10,0.33132831354935965,0.87775,12.58117938041687,109.88074135780334,0.01,2000,True
30,4,1,1.3962746163209279,0.48036666666666666,11.57529902458191,13.293621063232422,0.01,2000,False
31,4,2,0.7335503300031027,0.7140166666666666,12.308037042617798,25.658966541290283,0.01,2000,False
32,4,3,0.5899588505427042,0.7700833333333333,11.837650537490845,37.54368996620178,0.01,2000,False
33,4,4,0.5156316002209981,0.8002666666666667,11.4300856590271,49.01098394393921,0.01,2000,False
34,4,5,0.468405415614446,0.8256333333333333,11.643562316894531,60.71608877182007,0.01,2000,False
35,4,6,0.4319182991981506,0.8417166666666667,12.399483680725098,73.1708083152771,0.01,2000,False
36,4,7,0.3985587398211161,0.8535833333333334,11.507417917251587,84.73433899879456,0.01,2000,False
37,4,8,0.3761216173569361,0.861,11.46294116973877,96.25163316726685,0.01,2000,False
38,4,9,0.3633673846721649,0.86445,8.322942733764648,104.63980507850647,0.01,2000,False
39,4,10,0.34985521535078684,0.8713166666666666,4.003363132476807,108.67228841781616,0.01,2000,False
